"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"124","2019-08-06","12:43:19","30:30","30.693","26.667",,
"124","2019-08-06","12:43:19","30:40","30.754",,,
"124","2019-08-06","12:43:19","30:50","31.12","26.111",,
"124","2019-08-06","12:43:19","31:00","30.846",,,
"124","2019-08-06","12:43:19","31:10","31.303","26.667",,
"124","2019-08-06","12:43:19","31:20","30.846",,,
"124","2019-08-06","12:43:19","31:30","30.724",,,
"124","2019-08-06","12:43:19","31:40","30.693",,,
"124","2019-08-06","12:43:19","31:50","30.358",,,
"124","2019-08-06","12:43:19","32:00","30.175",,,
"124","2019-08-06","12:43:19","32:10","29.261",,,
"124","2019-08-06","12:43:19","32:20","28.59",,,
"124","2019-08-06","12:43:19","32:30","27.737",,,
"124","2019-08-06","12:43:19","32:40","27.127",,,
"124","2019-08-06","12:43:19","32:50","26.457",,,
"124","2019-08-06","12:43:19","33:00","25.847",,,
"124","2019-08-06","12:43:19","33:10","25.207",,,
"124","2019-08-06","12:43:19","33:20","24.719",,,
"124","2019-08-06","12:43:19","33:30","24.811",,,
"124","2019-08-06","12:43:19","33:40","24.597",,,
"124","2019-08-06","12:43:19","33:50","24.658",,,
"124","2019-08-06","12:43:19","34:00","24.658",,,
"124","2019-08-06","12:43:19","34:10","24.628",,,
"124","2019-08-06","12:43:19","34:20","24.689",,,
"124","2019-08-06","12:43:19","34:30","24.628",,,
"124","2019-08-06","12:43:19","34:40","24.628",,,
"124","2019-08-06","12:43:19","34:50","24.78",,,
"124","2019-08-06","12:43:19","35:00","24.506",,,
"124","2019-08-06","12:43:19","35:10","24.414",,,
"124","2019-08-06","12:43:19","35:20","23.805",,,
"124","2019-08-06","12:43:19","35:30","22.86",,,
"124","2019-08-06","12:43:19","35:40","22.525",,,
"124","2019-08-06","12:43:19","35:50","22.342","27.222",,
"124","2019-08-06","12:43:19","36:00","21.61",,,
"124","2019-08-06","12:43:19","36:10","21.427",,,
"124","2019-08-06","12:43:19","36:20","21.488",,,
"124","2019-08-06","12:43:19","36:30","20.696",,,
"124","2019-08-06","12:43:19","36:40","20.086",,,
"124","2019-08-06","12:43:19","36:50","19.69",,,
"124","2019-08-06","12:43:19","37:00","19.172",,,
"124","2019-08-06","12:43:19","37:10","19.507",,,
"124","2019-08-06","12:43:19","37:20","19.324",,,
"124","2019-08-06","12:43:19","37:30","19.05",,,
"124","2019-08-06","12:43:19","37:40","19.233",,,
"124","2019-08-06","12:43:19","37:50","18.928",,,
