domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Eukaryota		Haptophyta		Isochrysidales	Noelaerhabdaceae	dropped	dropped	Zotu381	LCA	3	0	0	0	0	4	51	271	100	0	0	0	14	0	0	0	67	21	0	0	645	43	23	0	2	0	9	0	64	0	17	0	0	23	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea media	Zotu474	LCA	1	0	0	0	0	34	0	0	0	0	0	0	229	0	505	0	0	0	0	0	0	0	0	0	0	0	4	0	0	165	28	0	0	0	0	0	96	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Mecynoceridae	Mecynocera	Mecynocera clausi	Zotu492	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	dropped	Zotu507	LCA	4	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae	Gymnodiniales	Kareniaceae		uncultured Kareniaceae	Zotu548	LCA	1	0	0	0	0	230	0	0	10	0	0	0	0	0	0	0	58	73	0	0	0	69	34	2	13	0	5	0	21	68	56	12	1	4	0	0	2	373	19	8	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu580	LCA	1	0	0	8	18	0	391	0	3	0	0	0	0	1	0	0	18	59	0	0	23	220	8	0	17	0	21	0	25	76	12	40	0	5	0	52	23	1	4	3	0
Eukaryota	Viridiplantae	Prasinodermophyta	Prasinodermophyceae	Prasinodermales	Prasinodermaceae	Prasinoderma	Prasinoderma coloniale	Zotu593	LCA	1	0	0	0	0	0	0	1021	22	0	59	0	3	0	0	0	0	9	0	0	0	2	10	432	112	0	42	0	0	1	55	49	3	46	0	0	0	0	65	38	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	Calocalanus	Calocalanus pavo	Zotu605	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	829	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu627	LCA	2	0	0	24	0	1059	18	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	10	0	0	0	5	0	8	7	3	2	0	2	0	0	0	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu643	LCA	2	0	0	0	0	0	101	0	3	0	8	0	53	304	0	0	0	14	0	4	39	46	27	1	57	0	26	1	16	75	21	0	0	9	0	1	11	149	9	24	0
Eukaryota		Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	Zotu646	LCA	1	0	0	0	0	0	0	223	121	0	0	0	0	0	0	0	0	0	0	0	0	22	0	41	104	0	2	0	0	0	17	5	0	127	0	0	4	0	39	105	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula pacifica	Zotu649	LCA	1	0	0	1	2	0	0	0	0	0	0	0	100	1	0	0	0	0	0	585	2	0	0	0	0	0	3	0	26	0	0	0	0	0	0	0	4	0	0	0	0
Eukaryota			Dinophyceae	Gymnodiniales	Kareniaceae		uncultured Kareniaceae	Zotu663	LCA	1	0	0	0	0	0	0	5	3	0	0	0	21	0	0	0	2	87	0	6	133	5	4	0	11	0	9	5	4	1	0	0	429	0	0	0	77	0	1	0	0
Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	Zotu737	LCA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu738	LCA	1	0	0	0	0	0	0	0	5	0	7	0	15	0	0	0	33	12	0	0	0	4	19	155	83	0	8	312	7	124	18	0	38	5	0	0	0	37	2	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	dropped	Zotu746	LCA	2	0	0	751	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Calocalanidae	Calocalanus	Calocalanus plumulosus	Zotu768	LCA	1	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota			Dinophyceae				uncultured dinoflagellate	Zotu828	LCA	1	0	0	124	0	0	0	0	25	0	0	0	56	25	0	0	0	33	0	0	36	1	48	63	136	0	36	3	25	31	54	0	22	46	0	105	19	0	1	6	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu925	LCA	2	0	0	0	0	0	0	152	5	0	0	0	19	1	0	33	0	2	0	47	1	0	47	1	5	0	12	72	15	13	22	3	2	5	0	219	5	0	30	1	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu980	LCA	2	0	0	8	0	0	0	0	4	0	1	0	47	0	0	0	0	49	0	0	5	104	13	2	75	0	3	0	6	34	9	31	19	8	0	0	0	1	226	8	0
Eukaryota	Metazoa	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Zebrasoma	dropped	Zotu995	LCA	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	184	38	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus paululus	Zotu1051	LCA	1	0	0	67	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	17	0	0	0	0
Eukaryota			Dinophyceae	dropped	dropped	dropped	dropped	Zotu1063	LCA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	8	0	0	0	0	0	3	0	322	2	0	0	0	0	53	100	0
Eukaryota			Dinophyceae	Gymnodiniales	Kareniaceae		uncultured Kareniaceae	Zotu1067	LCA	1	0	0	2	0	4	3	0	1	0	0	0	31	0	0	1	39	75	0	100	23	7	21	6	7	0	5	4	18	13	20	22	16	2	0	3	11	2	201	1	0
