domain	kingdom	phylum	class	order	family	genus	species	OTU	id_method	numberOfUnq_BlastHits	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	Zotu73	LCA	3	0	0	0	0	10	0	103	103	0	0	0	0	0	292	91	0	0	3	0	0	1525	0	0	0	0	0	512	307	11	13	0	9	13	0	1343	0	1450	89	0	36	0
Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	dropped	dropped	dropped	Zotu74	LCA	9	10298	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	Mantoniella squamata	Zotu78	LCA	4	0	0	0	0	0	0	0	30	458	168	34	727	0	0	3	0	0	230	507	0	1	0	2	7	297	378	0	0	41	1	94	336	212	453	182	0	15	112	324	1039	0
Eukaryota			dropped	dropped	dropped	dropped	dropped	Zotu80	LCA	3	0	0	0	0	65	1151	218	258	9	38	100	51	0	300	336	122	231	183	274	0	61	176	39	131	32	20	563	391	806	19	108	155	25	55	111	0	185	262	83	7	0
Eukaryota	Fungi	Basidiomycota	dropped	dropped	dropped	dropped	dropped	Zotu81	LCA	8	4352	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida			Calanoida sp. CP12	Zotu83	LCA	2	0	0	0	0	0	1	48	39	0	0	0	0	0	2	0	0	0	0	56	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3460	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Insecta	Blattodea	Blattidae	dropped	dropped	Zotu84	LCA	8	3330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	dropped	dropped	dropped	Zotu89	LCA	10	3660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota	Metazoa	Sipuncula		dropped	dropped	dropped	dropped	Zotu94	LCA	6	0	0	0	0	3	0	0	0	257	50	0	42	0	0	0	0	0	0	0	0	1	0	0	0	1252	1705	0	0	0	0	13	112	189	8	0	0	0	0	2	6	0
Eukaryota	Metazoa	Annelida	Polychaeta	Terebellida	Terebellidae	Loimia	dropped	Zotu102	LCA	2	0	0	0	0	8	0	0	3	7	24	0	9	0	0	0	0	8	187	181	0	2	0	21	59	1	11	10	56	22	5	950	1720	18	83	0	0	0	7	0	4	0
Eukaryota			dropped	dropped	dropped	dropped	dropped	Zotu103	LCA	4	0	0	0	0	140	13	0	79	11	23	0	90	0	622	509	4	442	73	5	0	492	146	0	0	0	0	3	160	49	2	0	3	0	0	218	0	406	32	0	0	0
Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Auriculariales			uncultured Exidiaceae	Zotu108	LCA	3	2420	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota		Haptophyta					Haptophyta environmental samples	Zotu109	LCA	3	0	0	0	0	214	0	206	311	37	66	25	298	0	704	179	0	194	243	612	0	1076	0	181	357	100	158	488	539	778	67	333	365	175	563	1293	0	489	592	245	394	0
Eukaryota		Haptophyta		dropped	dropped	dropped	dropped	Zotu112	LCA	4	0	0	0	0	584	1	329	368	435	239	16	855	0	1014	482	0	125	501	1223	0	734	0	125	535	439	600	870	1259	342	55	969	753	405	876	379	0	587	976	846	1198	0
Eukaryota			Pelagophyceae	Pelagomonadales		Pelagomonas	Pelagomonas calceolata	Zotu119	LCA	2	0	0	0	0	28	17	193	0	0	0	2	0	0	506	119	0	31	9	24	0	471	0	3	0	0	9	202	275	126	10	27	24	1	0	658	0	509	48	0	16	0
Eukaryota	Metazoa	Porifera	Demospongiae	Tetractinellida	dropped	dropped	dropped	Zotu121	LCA	10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	0	858	1525	61	348	0	0	0	150	8	14	0
Eukaryota	Viridiplantae	Chlorophyta	dropped	dropped	dropped	dropped	dropped	Zotu124	LCA	4	0	0	0	0	0	2	92	42	20	59	131	4	0	45	178	1011	806	7	11	0	0	34	13	9	19	0	41	55	64	3	0	0	31	16	81	0	15	26	6	0	0
Eukaryota	Viridiplantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon primus	Zotu125	LCA	3	0	0	0	0	3	554	0	0	0	0	21	11	0	28	117	518	126	0	0	0	89	224	0	0	2	0	0	143	187	0	0	0	6	6	195	0	118	4	0	0	0
Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	dropped	Zotu126	LCA	5	0	0	0	0	2	0	0	2	230	55	5	531	0	11	1	0	0	104	292	0	4	0	1	1	221	252	17	10	1	0	68	219	168	345	51	0	6	31	176	832	0
Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	dropped	Zotu128	LCA	4	1759	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
