OTU	B001	B002	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP023	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP032	BMSP033	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu442	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1087	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
Zotu4420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4421	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu4422	0	0	0	0	53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4424	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Zotu4426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4427	0	0	0	0	0	0	0	1	0	1	0	2	10	0	0	0	3	0	0	0	0	3	0	2	0	0	0	1	0	0	1	36	0	0	0	0	0	0	0	0
Zotu4428	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
Zotu4430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4432	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	0	0	0	3	0	1	5	0	0	2	0	0	0	9	0	0	4	0
Zotu4433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
Zotu4437	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	2	7	0	0	4	0	0	5	0	0	1	0	0	0	0
Zotu4438	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	83	8	0	0	0
Zotu4439	0	0	0	0	0	0	0	11	0	0	0	5	0	0	0	63	1	0	21	0	0	11	0	10	0	3	0	9	0	13	0	0	3	0	0	0	0	0	20	0
Zotu444	0	0	47	0	5	113	272	25	0	2	0	9	0	0	0	5	13	0	5	65	87	81	26	64	0	36	17	40	112	66	20	2	28	0	0	49	11	35	153	0
Zotu4442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	51	0	0	0	0	0
Zotu4443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0
Zotu4446	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	29	0
Zotu445	0	0	108	0	0	0	79	10	0	0	0	38	0	0	0	7	0	0	12	1	1	56	28	63	0	28	0	25	47	132	155	0	69	0	0	2	222	2	131	0
Zotu4451	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	26	5	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0
Zotu4452	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4454	0	0	40	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4455	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0
Zotu4456	0	0	10	0	0	0	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	3	3	1	0	0	0	0	8	0	0
Zotu4457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0
Zotu4458	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	2	3	2	0	4	0	2	1	11	3	0	2	0	0	1	0	3	6	0
Zotu446	0	0	298	0	11	90	0	13	0	0	0	198	1	0	0	16	89	0	58	24	92	27	1	37	0	62	77	35	38	47	30	3	12	0	4	29	21	69	10	0
Zotu4460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Zotu4461	0	0	4	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
