OTU	B001	B002	B003	B004	BMSP001	BMSP002	BMSP003	BMSP004	BMSP005	BMSP006	BMSP007	BMSP008	BMSP009	BMSP010	BMSP011	BMSP012	BMSP013	BMSP014	BMSP015	BMSP016	BMSP017	BMSP018	BMSP019	BMSP020	BMSP021	BMSP022	BMSP024	BMSP025	BMSP026	BMSP027	BMSP028	BMSP029	BMSP030	BMSP031	BMSP033	BMSP032	BMSP034	BMSP035	BMSP036	BMSP037	BMSP038
Zotu211	0	0	0	0	0	0	0	0	0	21	16	40	0	3	8	0	0	4	19	0	8	0	4	9	227	196	1	34	0	0	24	26	89	121	0	0	18	0	417	250	0
Zotu2111	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2116	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	16	0	0	1	10	0	0	0
Zotu2117	0	0	0	0	0	0	0	54	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu2119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	24	0	0
Zotu2121	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	1	0	0	5	0	0	0	0	38	0	8	0	0	0	0	0	0	0	0	0	0	9	2	0
Zotu213	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	686	0	0	0	35	0	0	0	75	0	21	0	21	0	161	3	0	0	0	0	10	12	0	0
Zotu214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2145	0	0	0	0	0	0	52	0	0	0	0	0	0	0	6	0	0	36	0	0	0	0	0	0	0	0	25	0	0	26	9	0	0	0	16	0	0	0	0	0	0
Zotu2148	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	45	0	4	0	0	0	0	0	0	0	0	0	0	0
Zotu2149	0	0	0	0	0	0	0	0	0	0	0	0	0	70	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu215	0	0	0	0	24	0	129	31	5	38	0	25	0	93	46	0	0	19	32	0	209	2	2	29	0	0	92	260	87	10	0	0	0	0	219	0	85	37	28	16	0
Zotu2154	0	0	0	0	92	8	7	1	9	24	1	30	0	0	0	0	1	2	2	0	0	0	14	212	0	2	1	4	19	59	38	17	4	24	3	0	0	47	37	3	0
Zotu216	0	0	0	0	0	0	0	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0
Zotu2166	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	17	84	13	356	0	0	238	0	0	18	11	0	0	0	0	136	50	56	0
